OMNOMICS_Average_Read_Depth,BED_File,BAM_File
,TP53.bed,1112738.bam
217,PKD1_8bp.bed,1109285.bam
,TP53_8bp.bed,1111687.bam
,TP53_8bp.bed,1118084.bam
,TP53_8bp.bed,1118045.bam
,TP53_8bp.bed,1121126.bam
,TP53_8bp.bed,1122709.bam
258,PKD1_8bp.bed,1110618.bam
2781,JAK2_CALR_MPL.bed,1111077.bam
,JAK2_CALR_MPL.bed,1111713.bam
,JAK2_CALR_MPL.bed,1114363.bam
,JAK2_CALR_MPL.bed,1114539.bam
,JAK2_CALR_MPL.bed,1120300.bam
437,PKD2_8bp.bed,1107149_PKD2.bam
271,PKD1_8bp.bed,1107149.bam
271,PKD1.bed,1111972.cram
891,TP53_8bp.bed,1110191.bam
,TP53.bed,1113842.bam
,JAK2_CALR_MPL.bed,1111799.bam
,JAK2_CALR_MPL.bed,1115606.bam
,JAK2_CALR_MPL.bed,1116458.bam
,JAK2_CALR_MPL.bed,1115849.bam
,JAK2_CALR_MPL.bed,1119407.bam
,JAK2_CALR_MPL.bed,1120260.bam
,JAK2_CALR_MPL.bed,1121817_1.bam
,PKD2_8bp.bed,1110366_PKD2.bam
,PKD1_8bp.bed,1110366_PKD1.bam
,PKD2_8bp.bed,1113707_PKD2.bam
,PKD1_8bp.bed,1113707_PKD1.bam
,PKD1_8bp.bed,1111751_PKD1.bam
,PKD1_8bp.bed,1112802_PKD1.bam
,PKD1_8bp.bed,1113672_PKD1.bam
,PKD2_8bp.bed,1113672_PKD2.bam
,PKD2_8bp.bed,1112802_PKD2.bam
,PKD1_8bp.bed,1111955_PKD1.bam
,PKD2_8bp.bed,1111955_PKD2.bam
,PKD1_8bp.bed,1111972_PKD1.bam
,Painel_SMP-SMD.bed,1112726.bam
,Painel_SMP-SMD.bed,1112729.bam
,Painel_SMP-SMD.bed,1112908.bam
,Painel_SMP-SMD.bed,1120638.bam
,KIT_17_8bps.bed,1113436.bam
,KIT_17_8bps.bed,1115877.bam
,KIT_17_8bps.bed,1116768.bam
,KIT_17_8bps.bed,1119333.bam
,GATA1.bed,1116010.bam
,MYD88_ex5_8bp.bed,1117753.bam
,MYD88_ex5_8bp.bed,1118411.bam
,MYD88_ex5_8bp.bed,1118377.bam
,MYD88_ex5_8bp.bed,1119276.bam
,MYD88_ex5_8bp.bed,1119775.bam
,MYD88_ex5_8bp.bed,1117753B.bam
,MYD88_ex5_8bp.bed,1120607.bam
,UBA1_8bps.bed,1120090.bam
,JAK2_12.bed,1123325.bam
,JAK2_12.bed,1122205.bam
,JAK2_12.bed,1122124.bam
,JAK2_12.bed,1121937.bam
,JAK2_12.bed,1121894.bam
,JAK2_12.bed,1121885.bam
,JAK2_12.bed,1122773.bam
,JAK2_12.bed,1122766.bam
,JAK2_12.bed,1122712.bam
,JAK2_12.bed,1122501.bam
,JAK2_12.bed,1122242.bam
,TP53_10.bed,1118084B.bam
,Painel_SMP-SMD_8bp.bed,1120285.bam
,JAK2_CALR_MPL.bed,1116458.bam
,MYD88_ex5_8bp.bed,1117753.bam
,MYD88_ex5_8bp.bed,1123232.bam
,BRAF_15.bed,1123444.bam
,JAK2_CALR_MPL.bed,1123721.bam
,KIT_17_8bps.bed,1123680.bam
,TP53.bed,1123989.bam
,TP53_8bp.bed,1123989.bam
,Painel_GIST.bed,1121917.bam
,JAK2_12.bed,1122951.bam
,JAK2_12.bed,1123161.bam
,JAK2_12.bed,1123153.bam
,JAK2_12.bed,1123332.bam
,JAK2_12.bed,1123395.bam
,JAK2_12.bed,1123702.bam
,JAK2_12.bed,1123910.bam
,JAK2_12.bed,1123896.bam
,JAK2_12.bed,1123800.bam
,JAK2_12.bed,1124144.bam
,JAK2_12.bed,1124262.bam






